Text,Classificacao
#beta #betalab #mg Escalada de violência nos presídios: AM pede apoio da Força Nacional;… https://t.co/ysX8TXSm50… https://t.co/NAly4Uxb5h,Neutro
#beta #betalab #mg Escalada de violência: Crime organizado no Brasil é disputado por 27… https://t.co/loRe3EfGaF… https://t.co/sSY5liKfMl,Neutro
"#beta #betalab #mg Estado afirma não ter sido notificado: Apesar de decisão judicial, reajuste…… https://t.co/IMG9Vxs4nK",Neutro
"#beta #betalab #mg Estado de espírito do paulistano: ""Voz"" do trânsito, buzina reflete pressa,…… https://t.co/hvLy03lyt3",Neutro
#beta #betalab #mg Estados falidos: Parte do PMDB quer barrar vetos de Temer na negociação de…… https://t.co/h9KQvBYlYV,Neutro
#beta #betalab #mg Ex-ministro e outros: Servidores da era PT se mantêm em cargos estratégicos… https://t.co/Q2Nor97ngg #timbeta #rt #brasil,Neutro
#beta #betalab #mg Ex-presidente da Câmara: Justiça suíça vê 'indícios concretos' contra… https://t.co/fwuwi8S4oD… https://t.co/w1W2SaN172,Neutro
#beta #betalab #mg Governo em calamidade financeira: BB avisa Justiça que Minas não tem… https://t.co/CdXt0cvcuY… https://t.co/s8un5iFnQS,Negativo
#beta #betalab #mg Mais sobre o massacre: PF: Facção tinha 'cela de comando' dentro da prisão… https://t.co/W3Cr89L0dk,Neutro
#beta #betalab #mg Marketing e veto a medidas de Paes: De doação de sangue a capoeira: a 1ª…… https://t.co/xPnt6omym6,Neutro
#beta #betalab #mg Massacre em presídio de Manaus: Governo do AM rebate ministro da Justiça e… https://t.co/MaBb4airMU #timbeta #rt #brasil,Neutro
#beta #betalab #mg Mudanças propostas pelo governo: Reforma libera trabalhar 12 horas alguns…… https://t.co/eIDgx5Ak3n,Neutro
"#beta #betalab #mg Muitas páginas de investigação: ""QG"" da Lava Jato reúne mais de 30 milhões…… https://t.co/pQF48BKPMr",Neutro
"#beta #betalab #mg Nos últimos dois anos: Governo pagou R$ 2,4 bi a alvos da Lava Jato https://t.co/KN8C0LcReb… https://t.co/GDQVhjO1Hc",Neutro
"#beta #betalab #mg Nova chacina em presídio: PCC matou presos sem facção, diz governo de RR https://t.co/e17QVKbWVV… https://t.co/HJinQ9Y8aT",Neutro
#beta #betalab #mg Onda de violência nos presídios: Governo de Roraima divulga lista oficial…… https://t.co/HLcGf3UtCx,Neutro
#beta #betalab #mg Pede respeito aos direitos dos detentos: Defensoria Pública da União vai ao…… https://t.co/kKbLNKRXfi,Neutro
#beta #betalab #mg Pedido ao STF irritou Meirelles: Governo ameaça suspender aval para… https://t.co/cHJbFIKAOY… https://t.co/uSTdKS5mCn,Neutro
#beta #betalab #mg Reforma no poder da Venezuela: Maduro nomeia novo vice-presidente e troca…… https://t.co/BPMWBODUM2,Neutro
"#beta #betalab #mg Revista encontra armas e drogas: Rifle, 42 facas e roteador são achados em…… https://t.co/TlIOyQeKb0",Neutro
#beta #betalab #mg Rio reforçou Operação Praia: Sábado de calor tem confusão e roubo nas… https://t.co/TwU41FTyfq… https://t.co/fSPlWFWWVo,Neutro
#beta #betalab #mg Segundo agentes penitenciários: Presídios do RJ estão em alerta desde… https://t.co/jODEM3J6Y4… https://t.co/gLMfJEuCNS,Neutro
#beta #betalab #mg 'Tinha que matar mais': Secretário de Temer deixa cargo após dizer que… https://t.co/ZZm1TCutjz… https://t.co/OoJJ3GcokW,Neutro
#beta #betalab #mg UOL Confere a crise prisional: Gestão privada de presídio não exime… https://t.co/dj5fy2PIwi… https://t.co/wCmH4Qhxt7,Neutro
#beta #betalab #mg UOL Confere: Governo Temer distorce dados econômicos em propaganda de 120…… https://t.co/w4dzb3AgfT,Neutro
#BRASILestáCHEIOdeMAMÃEsouFODA #METADEdoBRASILpertenceaosPOLÍTICOSaoutraédosBANCOSeEMPRESÁRIOS - Estado de Minas https://t.co/2YrgURW1zL,Neutro
#brasilmetropole Saúde mantém estado de atenção e investiga casos de febre amarela https://t.co/HAq4OMqMJK,Neutro
"#Cidades Com a alta incidência, a Secretaria de Estado de Saúde mantém alerta para moradores e visitantes de 15... https://t.co/qsntM0quLy",Neutro
#COPINHANAREDEVIDA  Eu e meu pai ligado na copinha pela Rede Vida! SOMOS DE GOVERNADOR VALADARES MG,Neutro
"#DefesaAgropecuária ""Governo de Minas Gerais aposta nos Arranjos Produtivos Locais"" na #RITDA: https://t.co/FzwaAJbcsw",Positivo
#EBC Governo de Minas investiga casos suspeitos de febre amarela e malária no estado https://t.co/SQIpvlLbvY,Positivo
#EducaçãoMG Governo de Minas Gerais reconhece Folias de Reis como Patrimônio Imaterial do Estado.… https://t.co/YvVFinjaLL,Neutro
#ForçaMichael O atacante Michael sofreu um traumatismo craniano após colidir com uma vaca em Minas e está em estado… https://t.co/dja4NqF1ZD,Neutro
"#holachilevierneschico jajaja los wns preparados, nada al azar #califa las minas abran estado tan buenas,como para haber asumido el riesgo?",Neutro
#i5gornascimento @i5gornascimento @cristiano UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/NnA9YFp4BP,Neutro
"#i5gornascimento @i5gornascimento g1 Corpo em estado de decomposição é encontrado em Poços de Caldas, MG https://t.co/ndVVD6kdly",Neutro
#i5gornascimento @i5gornascimento g1 Prefeito de Aimorés decreta estado de emergência administrativa https://t.co/0Jh7ARbSnk,Negativo
#i5gornascimento @i5gornascimento g1 Vereadores de Governador Valadares não terão 13º salário em 2017 https://t.co/9dJnmDxEAI,Neutro
#i5gornascimento @i5gornascimento Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/ZcuZugp8dq,Neutro
#i5gornascimento @i5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/FYeEFvieCy,Neutro
"#ImpeachmentPimentel #PTNuncaMais  Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros https://t.co/rcLSmbvdoH",Neutro
#ImpeachmentPimentel #PTNuncaMais #ForaPT #ForaPCdoB #ForaPSOL #ForaRede  https://t.co/0RRGhWdmdB,Neutro
"#Janeiro, #PartiuFerias, GOVERNADOR VALADARES/MG, Pousada Vale Silvestre EcoPark, Comprar: https://t.co/rNRqRFbUeM… https://t.co/2UyZ6Ojdp7",Neutro
"#Janeiro, #PartiuFerias, GOVERNADOR VALADARES/MG, Pousada Vale Silvestre EcoPark, Comprar: https://t.co/rNRqRFbUeM… https://t.co/qw78x6qm7k",Neutro
#jornaldacultura Por Favor comentem a compra de dois helicópteros pelo governo de Minas Gerais e o uso do Helicópteros por Pimentel,Neutro
#METADEdoBRASILpertenceaosPOLÍTICOSaoutraédosBANCOSeEMPRESÁRIOS  Politica - Estado de Minas https://t.co/usvOMucmuq,Neutro
#Microsoft  #lumia galera hj descobrir que aqui n estado do rio de janeiro n tem autorizada .(S.PAULO E MINAS ) NAO COMPREI WINDOWS PHONE,Neutro
#Mídia:  Press Release from Business Wire : Consumer Technology ... - Estado de Minas https://t.co/FGoxtwksdM,Neutro
#Mídia:  Press Release from Business Wire : Digital Living Network Alliance - Estado de Minas https://t.co/wj7wMchv8S,Neutro
#Mídia:  Press Release from Business Wire : IBC - Estado de Minas https://t.co/Uy5QuJo8wx,Neutro
#MINAS Postos dos Sine oferecem mais de 1.500 vagas de emprego no estado https://t.co/ZTrZ8MGrRp #Trabalho #Emprego #MG #Oportunidades,Neutro
#Minas vai dobrar oferta de trabalho e estudo nos #presídios do Estado https://t.co/CC6gpVFTCX,Positivo
#Minas vai dobrar oferta de trabalho e estudo nos #presídios do Estado https://t.co/UxfPtAKxte,Positivo
#Mortalidade por câncer cai 25% em 25 anos nos Estados Unidos - Estado de Minas https://t.co/fsZg1D8WCL,Neutro
#musicagratis Fundação Hospitalar do Estado de Minas Gerais (FHEMIG): A Fundação Hospitalar…… https://t.co/JXxZCenikX,Neutro
#musicagratis Ministério Público de Minas Gerais (Araxá): O Ministério Público do Estado de…… https://t.co/4WqHRHwxOg,Neutro
"#musicagratis Prefeitura de Rodeiro: A Prefeitura de Rodeiro, no Estado de Minas Gerais,… https://t.co/kdGlkcQKcG… https://t.co/NyF4ZQiZqm",Neutro
"#noticiasdorenan Em calamidade financeira, governo de MG compra dois helicópteros: O… https://t.co/oW6G9hElta",Negativo
#noticiasdorenan Governo de Minas Gerais reconhece Folias de Reis como Patrimônio Imaterial… https://t.co/AL18Rr45X3,Neutro
#noticiasdorenan Uso de depósitos judiciais pelo governo tem nova polêmica em MG: O Banco… https://t.co/kHuZpKQaj5,Negativo
#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL: Desastre ambiental em MG: Empresas ped… https://t.co/kwyeKjhtcI,Neutro
#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL: Governo em calamidade financeira: BB a… https://t.co/1rWaHUACqt,Neutro
#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL: Polêmica com filho de Pimentel: Govern… https://t.co/E1EhSA9Ti3,Neutro
#operacaobetalab BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/W6AoFMMsvA #rt #sdv,Negativo
#PedroMotta visita as memórias da infância na série #FrutosEstranhos da exposição #EstadodaNatureza � Visite:… https://t.co/Fti430VnjI,Neutro
"#petralha no governo é isso ai! Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros https://t.co/ZR9N6Gl0KW",Negativo
#pmdb #pt #tj #tjmg #almg #psdb #pdt O FILHO ACHOU O OUTRO VELHO Em calamidade financeira MG compra 2 helicópteros https://t.co/SXfamLNCqd,Negativo
#pré_hospitalar homem estado alterado de consciência dificuldade respiratória pressão elevada em supermercado no b são benedito av brasilia,Neutro
"#pt #pmdb #pdt #tj #tjmg #stf #almg #pp MAIS UMA DELE ... #BB cobra de Minas R$ 1,5 bilhão em depósitos judiciais https://t.co/yPWflY0U5f",Negativo
"#road #trip #mg #car #gopro @ Governador Valadares, Minas Gerais https://t.co/v6LZ557K6d",Neutro
#SomosTodosMoro   Presidente do STJ mantém preso ex-subsecretário da gestão Kassab - Politica - Estado de Minas https://t.co/ybrMKDnZ7Z,Neutro
"#Supercluster #Oracle (@ Secretaria de Estado da Fazenda in Belo Horizonte, MG) https://t.co/Raj2oJz8tq",Neutro
#SUS Minas Gerais recebe recurso máximo disponibilizado pelo Governo Federal para ações da #VigilânciaSanitária… https://t.co/0OrT7R8gMO,Positivo
#SUS SES-MG convoca coletiva para falar da situação da #FebreAmarela no estado @SaudeMG @GotasSalvadoras https://t.co/TEydsKsvnB,Neutro
#SUS SES-MG convoca coletiva para falar da situação da #FebreAmarela no estado https://t.co/7RwhYPH1Oz https://t.co/lfICLTfvxZ,Neutro
"#timbeta #globo Após ser agredida, mulher atira contra homem em Governador Valadares https://t.co/LSQcIK1ugn #OperacaoBetaLab #Sigodevolta",Neutro
#timbeta #globo BB cobra restituição de recursos por parte do governo de MG; estado afirma que instituição criou 'artifício contábil' …,Negativo
"#timbeta #globo Corpo em estado de decomposição é encontrado em Poços de Caldas, MG https://t.co/QIT9YlYMog #OperacaoBetaLab #Sigodevolta",Neutro
#timbeta #globo Defesa Civil de MG confirma 16ª morte pela chuva no estado https://t.co/SYMRdMAXFX #OperacaoBetaLab #Sigodevolta,Neutro
#timbeta #globo Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/888hGlseNv #OperacaoBetaLab #Sigodevolta,Neutro
#timbeta #globo Homem é morto a tiros após deixar presídio em Governador Valadares https://t.co/ecLiHQp1VR #OperacaoBetaLab #Sigodevolta,Neutro
#timbeta #globo MG é o quarto estado a garantir o direito à amamentação em público https://t.co/sCrrQLncHs #OperacaoBetaLab #Sigodevolta,Neutro
#timbeta #globo PM apreende armas usadas em homicídio em Governador Valadares https://t.co/YEFA0XEdKB #OperacaoBetaLab #Sigodevolta,Neutro
#timbeta #globo Polícia Militar apreende 30 kg de maconha em Governador Valadares https://t.co/eK1qMAUL36 #OperacaoBetaLab #Sigodevolta,Neutro
#timbeta #globo Prefeito de Aimorés decreta estado de emergência administrativa https://t.co/0Z7GX9GBPM #OperacaoBetaLab #Sigodevolta,Negativo
#timbeta #globo Prefeito de Ribeirão das Neves decreta estado de calamidade financeira https://t.co/cyvkfwwslD #OperacaoBetaLab #Sigodevol…,Negativo
#timbeta #globo Prefeitura de Uberlândia decreta estado de calamidade financeira  https://t.co/whTppNXDOk #OperacaoBetaLab #Sigodevolta,Negativo
#timbeta #globo UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/Fd8uVtW5bm #OperacaoBetaLab #Sigodevolta,Neutro
#timbeta #globo Vereadores de Governador Valadares não terão 13º salário em 2017 https://t.co/YA3HKtxvza #OperacaoBetaLab #Sigodevolta,Neutro
* #MG Y con tu Apellido tiro un Estado.. ☺�����,Neutro
*  Fajuta nobreza  petista tetas desfruta  frente um povo à míngua?  - FLASh  https://t.co/4Nx0PxhjkN https://t.co/Da3yOB38Qm  .,Neutro
"@__MathLaham @1psicopatar @samuelcost4 não sabia que o Estado de Minas existia em 1926, amigo...E detalhe:isso só apareceu depois de 2011 rs",Neutro
@_pereiraclayton em Minas ta seu cu kkkkkk estou no mesmo estado q você palhaço ��,Neutro
@1chathais Também não acreditei. O Estado de Minas pulicou que estão estudando implantar uma unidade,Negativo
@50Rosanaborges @folha @UOL já é o pior governador da história de Minas.,Negativo
"@a_alinediniz parabéns vc emplacou o release no estadão,  folha,  o globo,  isto é e Veja. Na próxima vez consiga SPTV,  Estado de Minas...",Neutro
"@AcordouAcordou Minas está linda, recheada de mineiros e mineiras gente boa, o problema é o governo de MG.",Negativo
"@AdemirAlvim @pdevechi Estado de Minas melhorando a manchete tb... só não falou que eram negros, mas mencionou a motivação política.",Neutro
"@AL_Kaio_ acho que não 4 de SP, 4 do RJ, 3 de MG, 3 do RS, e 3 do ES! Todos se enfrentavam e o melhor de cada estado passava pras semis",Neutro
@AlbertoLage @rebeldescalca @YouTube quero ver a desculpa quando ele ganhar uma boquinha no governo de Minas,Negativo
@AnaPaulaVolei e tem mais essa: https://t.co/BnDsO34qK0,Neutro
@Anastasia @revistaencontro Espero que você seja o próximo governador das Minas Geraes!,Neutro
"@andregallindo @R2renatoribeiro @JornalOGlobo Sou de minas, flamenguista e é triste, muito triste ver o maior palco do futebol neste estado.",Neutro
"@anterogreco @gianoddi @rafaelribeiro se der, manda um abraço para os palmeirenses aqui de governador Valadares MG, Antero.",Neutro
@AREZZO_ estou em outro estado! Comprei durante as férias em MG.,Neutro
@AxelRolonOk Y tiene 7 mg este estado que nadie se venga a hacer la inocente��,Neutro
"@azeredo_mg @STF_oficial @MichelTemer Justamente isso, morreu bandido é indenizado, enquanto isso os inocentes estão sem aparo do governo",Neutro
"@b3arland eu sou do interior de MG, mas minha cidade faz divisa com o estado de SP. O mais perto que eu conheço aqui é o Breno",Neutro
@baekliar o governo de minas dá ate estojo???????socorro,Neutro
"@Bella_DiGenaro y patea con las 2 patas, además el wueon es zurdos, con todas las minas buenas q a estado, se le va el gusto atrás?",Neutro
@beppo22 Risco de calote de Estados com a União cresce - Politica - Estado de Minas https://t.co/zdjOcATDo3,Negativo
@betorosio Bom dia professor!!!! Estou aqui em governador valadares/MG assistindo o melhor professor  você :)  Abracoooo Taynnara,Neutro
"@BlogDoPim @carioca556  O Aécio quando governador de Minas fez mais de 1.200 viagens para ir a praia no  Rio de Janeiro , cadê a indignação?",Neutro
@cartacapital e em minas governador usa helicóptero do governo para buscar filho em festa,Negativo
"@cartacapital isso tudo é um absurdo, legal mesmo é isso aqui https://t.co/TnVZQTadaD",Neutro
"@Castro2Monica então, qual é o governador das Minas Gerais?",Neutro
@charlesbigfoot @DecaRGarcia @Poder_360 Concordo plenamente. Já trabalhei no governo de MG e vi isso de perto.,Negativo
@ClaroPeru q era 700 mg mas no de ahi c cortaba mis megas como a estado ocurriendo inclusive los 1ero meses no tube megas!!,Neutro
"@claudfeb @mayrasmendoza @CFKArgentina Andar con minas no, pelotudo, pagarlas con guita del Estado, sí:  https://t.co/qxXLK6POMU",Neutro
@Codevasf e @governomg discutem retomada do convênio para construção da barragem do Jequitaí. Veja:… https://t.co/ndMvqAk49E,Neutro
@ConsuladosGalo Boa tarde. Consulado do Galo de Governador Valadares/MG. Ajude a divulgar. ObriGalo.,Neutro
@cotonewers praticamente hahah uma parte da minha família é de mg. Pra mim é o melhor estado p passear no Brasil �,Neutro
@danilo12mf @pires_magela  ele ja saiu seu mineiro filha da puta menor de minas chupaaa estado de merda ..só tem lixo nessa porra,Negativo
"@DCM_online Newton Cardoso Junior é da pior estirpe de politicos mineiros. Um golpista e desonesto, herança do pai, ex-governador de Minas.!",Negativo
@deeh_gerhardt https://t.co/TONVnZGvHq,Neutro
@deivaolm @Ary_AntiPT @c0nvey Antes ou depois de o governo de MG comprar 2 helicópteros?,Negativo
"@dibiaseneves vão se apaixonar pelo melhor estado do Brasil e pelo MAIOR de MG, sejam bem vindos a BH. #cruzeirosempre #maiordeminas",Neutro
"@diegocabral75 @exame aí em MG, ta td bem? Pimentel cada dia fazendo melhor para o estado né? ainda bem q o doria é prefeito de SP e nao BH",Positivo
@digaoi a internet ta ruim no estado de MG ?,Neutro
"@diogo_cc estou hahahaha mas trabalho mais pro impresso, Estado de Minas",Neutro
@doidao_galo @_FSEP @twitpalmeiras kkkk mineirao e do governo de Minas.  Aí joga no indepencia pq torcida só enche caixa de fósforo,Neutro
@DonaMed_VE  Clindomicina Pastilla 300 mg  Municipio  sucre  petate Estado miranda caracas,Neutro
@DonaMed_VE BUSCO EN VALENCIA ESTADO CARABOBO SOMAZINA PASTILLA 500 MG CONTACTO 04162571719 04124011533,Neutro
@droguerianena.Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias,Neutro
@ElPoliTwico AYUDA HOY ES UNA NIÑA CON MENINGITIS. mañana puede ser cualquiera. Su estado es grave x falta d medicamento Aciclovir 500 mg.,Neutro
"@em_com MG, o estado da idade do ferro, e sua capital",Neutro
@em_com vão cobrir isto? https://t.co/SNYMRfQ737,Neutro
"@esd4n ninguno, a decir verdad he estado con minas peores",Neutro
"@eumateus75 @Morro_Cristo @JanainaDoBrasil @ptnacional @ptbrasiI Em MG, a criminalidade aumentou com o PT https://t.co/3E7sdl1UsT",Negativo
@evaristocosta já visitou o estado de MG? Se sim o que achou?,Neutro
@filiperabelo @JocaMani É apenas uma proposta pelo reserva do Fred (tá caro!)... Não é a compra do Estado de Minas (Tchê Tchê + Moisés) �,Neutro
@FlowstreetYT bueno ese mg no ha estado nada mal lool omgggg!!!Gracias Flowiiii,Neutro
@folha - E daí? O palhaço de Minas voou trocentas vezes no helicóptero do ESTADO para namorar em Florianópolis e a imprensa não deu um PIO.,Negativo
@folha esse lixo petista quebrou o estado de Minas Gerais mais uma vez! seu lugar é um só..,Negativo
@ForunsMG vão eleger novos prefeitos e vereadores para o Colegiado Executivo e avançar na participação popular.… https://t.co/hLjmXWoK4i,Neutro
@FutDados William não tem mais clima para prosseguir no maior time do Estado de Minas Gerais ... fora William...�⚽️,Neutro
"@Fute_Minas O complicado é isso! Desse jeito nunca teremos uma terceira, quarta força no estado! Não da pros clubes do interior investir!",Neutro
"@GaloAustralia incorreto. No socialismo, a elite nunca se fode. O Estado fede.",Neutro
"@Galonopeito1 Se Minas tivesse mar, esse Estado ia ser o paraíso hahaha ❤",Neutro
@geraldoalckmin_ boa noite governador gostaria de um emprego trabalho na área da indústria meu governador PT Minas Gerais,Neutro
@gercinu tu estás em MG? Há uma zona de baixa pressão em cima do estado que impede a formação de nuvens.,Neutro
"@GilzanaCarvalho SP é realmente fascinante,tem vários contrastes,mas Minas é um estado bom tbm...alias o Brasil é um Belo Pais,so q mau adm�",Neutro
@GPronaldo13 Com um GOVERNADOR desse! Qualquer CORRUPTO vai querer ser CANDIDATO EM MG! Até as FACÇÕES do lula BÊBADO,Negativo
"@helhaodoaxe @ninobec @penso_ra @JornalOGlobo Estado de Minas, bunitão, chegados do Aécio. https://t.co/sjkpoMJvqX",Neutro
@hidselena minas gerais estado do pão de queij,Neutro
@HSOGameplays  vc e de qual estado de minas so para saber mesmo se pa e meu vizinho,Neutro
@i5gornascimento #i5gornascimento Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/yM8IsmD4Wn,Neutro
@i5gornascimento #i5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/5sutw56PxJ,Neutro
@I5gornascimento @I5gornascimento #I5gornascimento Governador Valadares registra dois assassinatos em menos de ... https://t.co/7IiBGRNW9l,Neutro
@I5gornascimento @I5gornascimento #I5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/4MiJlXKxoW,Neutro
@Independent  o melhor queijo do mundo é daqui do Brasil mais exatamente do estado de Minas Gerais,Neutro
"@infomoney ""bando do Brasil"" é o partido do governador de MG.",Negativo
@IPAFARMA @Avivasa1965 buenos días. Tienen stalevo de 100 mg. Vivo en el Estado Nueva Espsrta,Neutro
@israel_massa @ferrisss @JornalOGlobo pelo menos 1 coisa p se orgulhar do governo de minas. Esse tem q ser o modelo. Recuperar o cidadão...,Positivo
"@jairbolsonaro Por favor nos ajude a Pizza Pimentel aqui em MG é o maior cabide de empregos do meu estado, minha mãe coitada nem cheiro 13 s",Negativo
"@jcavaa Cuando vi tu nombre como ganador del #EuroLogo me sonaste mucho, tras 3 días, me doy cuenta de que me has estado dando mg en insta�",Neutro
@jeffs_araujo35 @sjayanthi @Ueiler2 @virginiaduailib Conheço bem as APACs de quando trabalhei no governo de MG...,Neutro
@JoanapereiraF Olá! Podemos usar a sua foto no jornal Estado de MInas? Obrigada!,Neutro
"@joaoleiteBH isso  joão, contamos com vcs pra derrotar esses bandidos q estão no poder, lugar de bandido é na cadeia, n no governo de MG",Negativo
@jonanperrea @holdmenouis_ mejor!! Eswue estado unos días sin conectarme por estudiar y aunque siempre intento darte mg y comentar! Un besoo,Neutro
@jornal_cultura @tvcultura  Por Favor comentem a compra de dois helicópteros pelo governo de Minas Gerais e uso do Helicópteros por Pimentel,Neutro
@jornal_cultura governo federal com cartão de crédito...governo de MG passeando e comprando helicópteros. Até onde?,Negativo
"@jornaldacbn O @LFPezao  quando precisar dar um passeio, ele pode pedir emprestado o helicóptero emprestado do  Governador de MG.",Negativo
"@JoseAMeadeK Los abusos, aun en el estado mas sólido, son minas sordas que tarde o temprano estallan.",Neutro
@JustMoveOn10 #TeamBTS confieso que me da pena que mi ex me haya cambiado altiro con varias minas y yo ni siquiera he estado con otro:)))),Neutro
@kalkssabrina @AnaPaulaVolei E o Estado com as finanças no vermelho! E o resto da era PT acabando com MG.,Negativo
@Kefera teria como doar sangue pra ele morando em outro estado? eu sou de Minas e gostaria de ajudar,Neutro
"@kellybh1 Olá Kelly, somos do estado do Paraná, mas o serviço 181 está em Minas Gerais também! Ligue 181 e denuncie!",Neutro
"@lancenet aqui em Minas nenhum dos grandes portais (itatiaia, superesportes, Estado de Minas) noticia isso. Até os setoristas desconhecem",Neutro
@Laurinahloves5h @WorlDms91 aja si y por eso le diste mg a su estado para que te mande preguntas al chat ��� basta no puedo,Neutro
